reporting_date|reporting_date_period_type|geography_type_key|geography_key|product_key1|product_key2|product_key3|product_key4|product_status_key|channel_key|year_seasonality_key|iso_currency_code|stock_value|stock_quantity|price_status_key|scanned_margin|sales_value|sales_quantity|clearance_sales_value|clearance_sales_quantity|promotion_sales_value|promotion_sales_quantity|system_price|selling_price
2017-05-30|1|0|0|13420||||1|1|4|GBP|1341.3894|282|2|4|104.6474|22|10.46474|2|15.697110|3|4.7567|6.65938
2017-05-30|1|0|0|13420||||1|1|4|GBP|1328.9607|279|2|4|109.5559|23|10.95559|2|16.433385|3|4.7633|6.66862
2017-05-30|1|0|0|13420||||1|1|4|GBP|1322.4600|279|2|4|104.2800|22|10.42800|2|15.642000|3|4.7400|6.63600
2017-05-30|1|0|0|13420||||1|1|4|GBP|140.1696|288|2|4|9.2473|19|0.92473|1|1.387095|2|0.4867|0.68138
2017-05-30|1|0|0|13420||||1|1|4|GBP|514.8836|292|2|4|40.5559|23|4.05559|2|6.083385|3|1.7633|2.46862
2017-05-30|1|0|0|13420||||1|1|4|GBP|92.7931|293|2|4|6.0173|19|0.60173|1|0.902595|2|0.3167|0.44338
2017-05-30|1|0|0|13420||||1|1|4|GBP|429.0435|305|2|4|23.9139|17|2.39139|1|3.587085|2|1.4067|1.96938
2017-05-30|1|0|0|13420||||1|1|4|GBP|1309.9075|275|2|4|104.7926|22|10.47926|2|15.718890|3|4.7633|6.66862
2017-05-30|1|0|0|13420||||1|1|4|GBP|1149.5400|238|2|4|125.5800|26|12.55800|2|18.837000|3|4.8300|6.76200
2017-05-30|1|0|0|13420||||1|1|4|GBP|1116.6856|232|2|4|259.9182|54|25.99182|5|38.987730|8|4.8133|6.73862
2017-05-30|1|0|0|13420||||1|1|4|GBP|1173.4200|246|2|4|186.0300|39|18.60300|3|27.904500|5|4.7700|6.67800
2017-05-30|1|0|0|13420||||1|1|4|GBP|1248.0000|260|2|4|100.8000|21|10.08000|2|15.120000|3|4.8000|6.72000
2017-05-30|1|0|0|13420||||1|1|4|GBP|1330.9240|280|2|4|218.6518|46|21.86518|4|32.797770|6|4.7533|6.65462
2017-05-30|1|0|0|13420||||1|1|4|GBP|1322.0400|276|2|4|110.1700|23|11.01700|2|16.525500|3|4.7900|6.70600
2017-05-30|1|0|0|13420||||1|1|4|GBP|1363.2762|286|2|4|104.8674|22|10.48674|2|15.730110|3|4.7667|6.67338
2017-05-30|1|0|0|13420||||1|1|4|GBP|1431.0000|300|1|4|85.8600|18|8.58600|1|12.879000|2|4.7700|6.67800
2017-05-30|1|0|0|13420||||1|1|4|GBP|1330.9240|280|1|4|95.0660|20|9.50660|2|14.259900|3|4.7533|6.65462
2017-05-30|1|0|0|13420||||1|1|4|GBP|1342.3200|282|2|4|109.4800|23|10.94800|2|16.422000|3|4.7600|6.66400
2017-05-30|1|0|0|13420||||1|1|4|GBP|1326.8871|287|2|4|106.3359|23|10.63359|2|15.950385|3|4.6233|6.47262
2017-05-30|1|0|0|13420||||1|1|4|GBP|1426.2300|299|2|4|100.1700|21|10.01700|2|15.025500|3|4.7700|6.67800
2017-05-30|1|0|0|13420||||1|1|4|GBP|1328.0400|279|1|4|80.9200|17|8.09200|1|12.138000|2|4.7600|6.66400
2017-05-30|1|0|0|13420||||1|1|4|GBP|1311.1241|277|2|4|132.5324|28|13.25324|2|19.879860|4|4.7333|6.62662
2017-05-30|1|0|0|13420||||1|1|4|GBP|1390.0197|291|2|4|114.6408|24|11.46408|2|17.196120|3|4.7767|6.68738
2017-05-30|1|0|0|13420||||1|1|4|GBP|1362.3000|285|2|4|86.0400|18|8.60400|1|12.906000|2|4.7800|6.69200
2017-05-30|1|0|0|13420||||1|1|4|GBP|1245.8313|261|1|4|124.1058|26|12.41058|2|18.615870|3|4.7733|6.68262
2017-05-30|1|0|0|13420||||1|1|4|GBP|1261.4000|265|2|4|138.0400|29|13.80400|2|20.706000|4|4.7600|6.66400
2017-05-30|1|0|0|13420||||1|1|4|GBP|1254.8712|264|2|4|152.1056|32|15.21056|3|22.815840|4|4.7533|6.65462
2017-05-30|1|0|0|13420||||1|1|4|GBP|1296.7500|273|1|4|99.7500|21|9.97500|2|14.962500|3|4.7500|6.65000
2017-05-30|1|0|0|13420||||1|1|4|GBP|1282.7243|271|2|4|151.4656|32|15.14656|3|22.719840|4|4.7333|6.62662
2017-05-30|1|0|0|13420||||1|1|4|GBP|1320.5000|278|1|4|104.5000|22|10.45000|2|15.675000|3|4.7500|6.65000
2017-05-30|1|0|0|13420||||1|1|4|GBP|1332.8000|280|1|4|90.4400|19|9.04400|1|13.566000|2|4.7600|6.66400
2017-05-30|1|0|0|13420||||1|1|4|GBP|1308.2400|276|2|4|127.9800|27|12.79800|2|19.197000|4|4.7400|6.63600
2017-05-30|1|0|0|13420||||1|1|4|GBP|1214.9571|287|2|4|88.8993|21|8.88993|2|13.334895|3|4.2333|5.92662
2017-05-30|1|0|0|13420||||1|1|4|GBP|1256.1000|265|2|4|132.7200|28|13.27200|2|19.908000|4|4.7400|6.63600
2017-05-30|1|0|0|13420||||1|1|4|GBP|1348.0500|285|2|4|113.5200|24|11.35200|2|17.028000|3|4.7300|6.62200
2017-05-30|1|0|0|13420||||1|1|4|GBP|1281.1200|272|2|4|117.7500|25|11.77500|2|17.662500|3|4.7100|6.59400
2017-05-30|1|0|0|13420||||1|1|4|GBP|1206.8059|277|2|4|113.2742|26|11.32742|2|16.991130|3|4.3567|6.09938
2017-05-30|1|0|0|13420||||1|1|4|GBP|225.1800|278|2|4|15.3900|19|1.53900|1|2.308500|2|0.8100|1.13400
2017-05-30|1|0|0|13420||||1|1|4|GBP|1223.5908|276|1|4|110.8325|25|11.08325|2|16.624875|3|4.4333|6.20662
2017-05-30|1|0|0|13420||||1|1|4|GBP|1338.8566|302|2|4|97.5326|22|9.75326|2|14.629890|3|4.4333|6.20662
2017-05-30|1|0|0|13420||||1|1|4|GBP|1222.1477|269|1|4|118.1258|26|11.81258|2|17.718870|3|4.5433|6.36062
2017-05-30|1|0|0|13420||||1|1|4|GBP|1363.9570|290|2|4|126.9891|27|12.69891|2|19.048365|4|4.7033|6.58462
2017-05-30|1|0|0|13420||||1|1|4|GBP|1288.7042|274|2|4|159.9122|34|15.99122|3|23.986830|5|4.7033|6.58462
2017-05-30|1|0|0|13420||||1|1|4|GBP|1316.8839|283|2|4|107.0259|23|10.70259|2|16.053885|3|4.6533|6.51462
2017-05-30|1|0|0|13420||||1|1|4|GBP|1289.0026|278|2|4|153.0111|33|15.30111|3|22.951665|4|4.6367|6.49138
2017-05-30|1|0|0|13420||||1|1|4|GBP|1425.3565|305|2|4|126.1791|27|12.61791|2|18.926865|4|4.6733|6.54262
2017-05-30|1|0|0|13420||||1|1|4|GBP|1330.5600|288|2|4|189.4200|41|18.94200|4|28.413000|6|4.6200|6.46800
2017-05-30|1|0|0|13420||||1|1|4|GBP|1554.7200|328|1|4|123.2400|26|12.32400|2|18.486000|3|4.7400|6.63600
2017-05-30|1|0|0|13420||||1|1|4|GBP|1443.7200|318|2|4|163.4400|36|16.34400|3|24.516000|5|4.5400|6.35600
2017-05-30|1|0|0|13420||||1|1|4|GBP|1350.5837|289|2|4|135.5257|29|13.55257|2|20.328855|4|4.6733|6.54262
2017-05-30|1|0|0|13420||||1|1|4|GBP|1156.2000|246|2|4|141.0000|30|14.10000|3|21.150000|4|4.7000|6.58000
2017-05-30|1|0|0|13420||||1|1|4|GBP|1225.1745|265|2|4|124.8291|27|12.48291|2|18.724365|4|4.6233|6.47262
2017-05-30|1|0|0|13420||||1|1|4|GBP|655.5000|190|2|4|110.4000|32|11.04000|3|16.560000|4|3.4500|4.83000
2017-05-30|1|0|0|13420||||1|1|4|GBP|580.2712|136|2|4|110.9342|26|11.09342|2|16.640130|3|4.2667|5.97338
2017-05-30|1|0|0|13420||||1|1|4|GBP|644.6448|144|2|4|94.0107|21|9.40107|2|14.101605|3|4.4767|6.26738
2017-05-30|1|0|0|13420||||1|1|4|GBP|651.6884|148|1|4|83.6627|19|8.36627|1|12.549405|2|4.4033|6.16462
2017-05-30|1|0|0|13420||||1|1|4|GBP|688.5000|150|2|4|82.6200|18|8.26200|1|12.393000|2|4.5900|6.42600
2017-05-30|1|0|0|13420||||1|1|4|GBP|697.6200|151|1|4|64.6800|14|6.46800|1|9.702000|2|4.6200|6.46800
2017-05-30|1|0|0|13420||||1|1|4|GBP|692.5851|153|2|4|72.4272|16|7.24272|1|10.864080|2|4.5267|6.33738
2017-05-30|1|0|0|13420||||1|1|4|GBP|644.9600|139|2|4|97.4400|21|9.74400|2|14.616000|3|4.6400|6.49600
2017-05-30|1|0|0|13420||||1|1|4|GBP|592.5357|129|1|4|68.8995|15|6.88995|1|10.334925|2|4.5933|6.43062
2017-05-30|1|0|0|13420||||1|1|4|GBP|578.1000|123|2|4|173.9000|37|17.39000|3|26.085000|5|4.7000|6.58000
2017-05-30|1|0|0|13420||||1|1|4|GBP|627.1200|134|2|4|140.4000|30|14.04000|3|21.060000|4|4.6800|6.55200
2017-05-30|1|0|0|13420||||1|1|4|GBP|744.7014|158|2|4|108.4059|23|10.84059|2|16.260885|3|4.7133|6.59862
2017-05-30|1|0|0|13420||||1|1|4|GBP|705.6683|151|2|4|126.1791|27|12.61791|2|18.926865|4|4.6733|6.54262
2017-05-30|1|0|0|13420||||1|1|4|GBP|792.4056|168|2|4|103.7674|22|10.37674|2|15.565110|3|4.7167|6.60338
2017-05-30|1|0|0|13420||||1|1|4|GBP|843.4600|181|2|4|93.2000|20|9.32000|2|13.980000|3|4.6600|6.52400
2017-05-30|1|0|0|13420||||1|1|4|GBP|794.3000|169|2|4|89.3000|19|8.93000|1|13.395000|2|4.7000|6.58000
2017-05-30|1|0|0|13420||||1|1|4|GBP|783.0277|169|2|4|101.9326|22|10.19326|2|15.289890|3|4.6333|6.48662
